archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
001123,<161227016996.23782.17420566890489673226.generated@prod2.harmonylists.io>,001123,1994-08-01 21:39:07+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001123.html,SAMUELS JEFFREY,Mandukya Upanisad and Commentary,Veda and ritual,philological discussion,I,bhasya; upanisad,3,subject_pattern,state:I=Upanisad; register:upanisad=Upanisad; register:bhasya=Commentary,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001126,<161227017000.23782.6994745073100393772.generated@prod2.harmonylists.io>,001123,1994-08-02 00:14:20+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001126.html,A.Raman at massey.ac.nz,Mandukya Upanisad and Commentary,Veda and ritual,philological discussion,I,bhasya; upanisad,3,subject_pattern,state:I=Upanisad; register:upanisad=Upanisad; register:bhasya=Commentary,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001125,<161227016998.23782.18098920066965163002.generated@prod2.harmonylists.io>,001125,1994-08-01 22:39:17+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001125.html,Lance Nelson,Mandukya Upanisad and Commentary,Veda and ritual,philological discussion,I,bhasya; upanisad,3,subject_pattern,state:I=Upanisad; register:upanisad=Upanisad; register:bhasya=Commentary,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001684,<161227018026.23782.11609656154620212314.generated@prod2.harmonylists.io>,001684,1994-12-18 17:19:25+00:00,1994,12,https://list.indology.info/pipermail/indology/1994-December/001684.html,WITZEL at HUSC3.HARVARD.EDU,"querry about Sayana, etc.",General scholarly discussion,general discussion,,bhasya,1,subject_pattern,register:bhasya=Sayana,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001842,<161227018307.23782.11583990645948345557.generated@prod2.harmonylists.io>,001837,1995-01-24 02:44:59+00:00,1995,1,https://list.indology.info/pipermail/indology/1995-January/001842.html,kichenas at math.umn.edu,A commentary on the Gita,Texts and philology,philological discussion,III,bhasya,2,subject_pattern,state:III=Gita; register:bhasya=commentary,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
003181,<161227020900.23782.10160006493673645547.generated@prod2.harmonylists.io>,003175,1995-09-19 17:45:05+00:00,1995,9,https://list.indology.info/pipermail/indology/1995-September/003181.html,soni at Mailer.Uni-Marburg.DE,Gitabhasya of Shankara,General scholarly discussion,general discussion,,bhasya,1,subject_pattern,register:bhasya=Shankara,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
003189,<161227020888.23782.16441664248764592007.generated@prod2.harmonylists.io>,003175,1995-09-19 15:59:43+00:00,1995,9,https://list.indology.info/pipermail/indology/1995-September/003189.html,soni at Mailer.Uni-Marburg.DE,Gitabhasya of Shankara,General scholarly discussion,general discussion,,bhasya,1,subject_pattern,register:bhasya=Shankara,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
003188,<161227020895.23782.10429153877952292584.generated@prod2.harmonylists.io>,003180,1995-09-19 16:14:16+00:00,1995,9,https://list.indology.info/pipermail/indology/1995-September/003188.html,Leo Facq,Gitabhasya of Shankara,General scholarly discussion,general discussion,,bhasya,1,subject_pattern,register:bhasya=Shankara,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
003180,<161227020886.23782.15734304777823040758.generated@prod2.harmonylists.io>,003180,1995-09-19 15:19:49+00:00,1995,9,https://list.indology.info/pipermail/indology/1995-September/003180.html,mani at srirangam.esd.sgi.com,Gitabhasya of Shankara,General scholarly discussion,general discussion,,bhasya,1,subject_pattern,register:bhasya=Shankara,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
003190,<161227020903.23782.8936849007631665593.generated@prod2.harmonylists.io>,003180,1995-09-19 21:01:00+00:00,1995,9,https://list.indology.info/pipermail/indology/1995-September/003190.html,R.W.Perrett at massey.ac.nz,Gitabhasya of Shankara,General scholarly discussion,general discussion,,bhasya,1,subject_pattern,register:bhasya=Shankara,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
003219,<161227020960.23782.17430524023766287544.generated@prod2.harmonylists.io>,003219,1995-09-26 15:10:13+00:00,1995,9,https://list.indology.info/pipermail/indology/1995-September/003219.html,Westview Press,re my request of 19 september on a translation of Shankara's Giitaabhaasya,Bibliographic requests,philological discussion,,bhasya,1,subject_pattern,register:bhasya=Shankara,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
