archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
003505,<161227021553.23782.9553946897664822566.generated@prod2.harmonylists.io>,003505,1995-11-07 06:02:27+00:00,1995,11,https://list.indology.info/pipermail/indology/1995-November/003505.html,witzel at HUSC3.HARVARD.EDU,W.D.O'Flaherty's Jaiminiya Brahmana,Veda and ritual,general discussion,I,brahmana,2,subject_pattern,state:I=Brahmana; register:brahmana=Brahmana,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
008414,<161227030792.23782.18176557661042692081.generated@prod2.harmonylists.io>,008414,1997-06-09 04:23:51+00:00,1997,6,https://list.indology.info/pipermail/indology/1997-June/008414.html,Anthony P Stone,Taittiriya Brahmana,Veda and ritual,general discussion,I,brahmana,2,subject_pattern,state:I=Brahmana; register:brahmana=Taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019856,<161227055291.23782.16994099143602927006.generated@prod2.harmonylists.io>,019856,2000-01-15 23:10:51+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019856.html,Harry Spier,Taittiriya Samhita,General scholarly discussion,general discussion,I,brahmana,2,subject_pattern,state:I=Samhita; register:brahmana=Taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019859,<161227055295.23782.16584876828431501701.generated@prod2.harmonylists.io>,019856,2000-01-16 03:15:58+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019859.html,Somayaji Rajagopala,Taittiriya Samhita,General scholarly discussion,general discussion,I,brahmana,2,subject_pattern,state:I=Samhita; register:brahmana=Taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019860,<161227055296.23782.16338226730267616436.generated@prod2.harmonylists.io>,019856,2000-01-16 03:39:36+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019860.html,clopez,Taittiriya Samhita,General scholarly discussion,general discussion,I,brahmana,2,subject_pattern,state:I=Samhita; register:brahmana=Taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019904,<161227055386.23782.18020478912622502849.generated@prod2.harmonylists.io>,019904,2000-01-19 04:47:35+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019904.html,nanda chandran,Vedic accent in taittiriya samhita,Veda and ritual,general discussion,I,brahmana,2,subject_pattern,state:I=Vedic; register:brahmana=taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019906,<161227055384.23782.135676076433267528.generated@prod2.harmonylists.io>,019905,2000-01-19 03:06:52+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019906.html,Harry Spier,Vedic accent in taittiriya samhita,Veda and ritual,general discussion,I,brahmana,2,subject_pattern,state:I=Vedic; register:brahmana=taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019909,<161227055393.23782.7091982622692427504.generated@prod2.harmonylists.io>,019863,2000-01-19 12:11:31+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019909.html,S.Kalyanaraman,Vedic accent in taittiriya samhita,Veda and ritual,general discussion,I,brahmana,2,subject_pattern,state:I=Vedic; register:brahmana=taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019911,<161227055398.23782.12374546665487583379.generated@prod2.harmonylists.io>,019863,2000-01-19 16:33:50+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019911.html,Michael Witzel,Vedic accent in taittiriya samhita,Veda and ritual,general discussion,I,brahmana,2,subject_pattern,state:I=Vedic; register:brahmana=taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
019941,<161227055450.23782.11593895316353443462.generated@prod2.harmonylists.io>,019905,2000-01-22 16:13:18+00:00,2000,1,https://list.indology.info/pipermail/indology/2000-January/019941.html,Madhav Deshpande,Vedic accent in taittiriya samhita,Veda and ritual,general discussion,I,brahmana,2,subject_pattern,state:I=Vedic; register:brahmana=taittiriya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
