archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
000354,<161227015543.23782.8415114549218009312.generated@prod2.harmonylists.io>,000354,1992-11-25 08:23:00+00:00,1992,11,https://list.indology.info/pipermail/indology/1992-November/000354.html,Stephen Miller,Modern Bengali Poetry,General scholarly discussion,general discussion,IV,kavya,2,subject_pattern,state:IV=Poetry; register:kavya=Poetry,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000384,<161227015599.23782.14088662999240003151.generated@prod2.harmonylists.io>,000384,1993-01-18 16:29:15+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000384.html,kak at max.ee.lsu.edu,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,IV,kavya,2,subject_pattern,state:IV=Kalidasa; register:kavya=Kalidasa,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000386,<161227015602.23782.18188950249031386813.generated@prod2.harmonylists.io>,000384,1993-01-19 18:25:21+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000386.html,sandip at lewis.EE.CORNELL.EDU,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,IV,kavya,2,subject_pattern,state:IV=Kalidasa; register:kavya=Kalidasa,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000388,<161227015606.23782.3248180189226125815.generated@prod2.harmonylists.io>,000384,1993-01-25 19:16:39+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000388.html,vsm at heliograph.Eng.Sun.COM,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,IV,kavya,2,subject_pattern,state:IV=Kalidasa; register:kavya=Kalidasa,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000389,<161227015608.23782.7933392812346716732.generated@prod2.harmonylists.io>,000384,1993-01-25 19:38:10+00:00,1993,1,https://list.indology.info/pipermail/indology/1993-January/000389.html,kak at max.ee.lsu.edu,Kalidasa and the Agnimitra problem,General scholarly discussion,general discussion,IV,kavya,2,subject_pattern,state:IV=Kalidasa; register:kavya=Kalidasa,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000586,<161227015973.23782.16254349714963978463.generated@prod2.harmonylists.io>,000586,1993-07-13 23:56:27+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000586.html,kashyap at pepper.rutgers.edu,Sanskrit version of verse from Isa Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Upanishad; register:kavya=verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000587,<161227015975.23782.11334710377857971766.generated@prod2.harmonylists.io>,000586,1993-07-14 02:03:38+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000587.html,SATYAVO,Sanskrit version of verse from Isa Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Upanishad; register:kavya=verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000588,<161227015977.23782.1119039312558266195.generated@prod2.harmonylists.io>,000588,1993-07-14 02:54:49+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000588.html,kashyap at pepper.rutgers.edu,Sanskrit Version of Verse from Chandogya Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Chandogya; register:kavya=Verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000599,<161227015998.23782.12616665741009269721.generated@prod2.harmonylists.io>,000588,1993-07-18 18:14:12+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000599.html,Michael Everson,Sanskrit Version of Verse from Chandogya Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Chandogya; register:kavya=Verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001261,<161227017256.23782.18296293366826797099.generated@prod2.harmonylists.io>,001261,1994-09-15 19:10:58+00:00,1994,9,https://list.indology.info/pipermail/indology/1994-September/001261.html,David Magier,The Columbia Book of Indian Poetry,General scholarly discussion,general discussion,IV,kavya,2,subject_pattern,state:IV=Poetry; register:kavya=Poetry,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
