archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
001483,<161227017642.23782.3244001057340039913.generated@prod2.harmonylists.io>,001483,1994-10-28 00:05:40+00:00,1994,10,https://list.indology.info/pipermail/indology/1994-October/001483.html,czm1 at cornell.edu,Yoga Sutra verse differences,Texts and philology,philological discussion,,kavya; sutra,2,subject_pattern,register:sutra=Sutra; register:kavya=verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006898,<161227028230.23782.10638685487145801700.generated@prod2.harmonylists.io>,006898,1997-02-12 06:50:26+00:00,1997,2,https://list.indology.info/pipermail/indology/1997-February/006898.html,Fco. Javier Mart177nez Garc177a,sutra and suta,Texts and philology,philological discussion,,sutra,1,subject_pattern,register:sutra=sutra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007477,<161227029183.23782.13283536098960577533.generated@prod2.harmonylists.io>,007455,1997-03-29 01:15:45+00:00,1997,3,https://list.indology.info/pipermail/indology/1997-March/007477.html,zydenbos at flevoland.xs4all.nl,Solution to the 'sUtra'-'nUl' problem,Texts and philology,philological discussion,,sutra,1,subject_pattern,register:sutra=sUtra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007574,<161227029327.23782.5189615232921232652.generated@prod2.harmonylists.io>,007574,1997-04-03 16:03:55+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007574.html,Girish Beeharry,"Rig Veda, ta'ntra, nUl, and sUtra",Veda and ritual,philological discussion,I,sutra,2,subject_pattern,state:I=Veda; register:sutra=sUtra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007578,<161227029318.23782.10837921704701003018.generated@prod2.harmonylists.io>,007566,1997-04-03 09:44:38+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007578.html,Francois Quiviger,Danielou's French translation of the Kama sutra,Texts and philology,philological discussion,,sutra,1,subject_pattern,register:sutra=sutra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007577,<161227029348.23782.17015890448734066645.generated@prod2.harmonylists.io>,007577,1997-04-04 01:40:57+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007577.html,Alan Sponberg,"Rig Veda, ta'ntra, nUl, and sUtra",Veda and ritual,philological discussion,I,sutra,2,subject_pattern,state:I=Veda; register:sutra=sUtra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007584,<161227029343.23782.13584063720647053820.generated@prod2.harmonylists.io>,007573,1997-04-03 22:23:40+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007584.html,John Richards,Danielou's French translation of the Kama sutra,Texts and philology,philological discussion,,sutra,1,subject_pattern,register:sutra=sutra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007580,<161227029341.23782.5362852070827364085.generated@prod2.harmonylists.io>,007572,1997-04-03 22:23:56+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007580.html,thompson at jlc.net,"Rig Veda, ta'ntra, nUl, and sUtra",Veda and ritual,philological discussion,I,sutra,2,subject_pattern,state:I=Veda; register:sutra=sUtra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007587,<161227029349.23782.16121319623849065528.generated@prod2.harmonylists.io>,007570,1997-04-04 06:58:05+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007587.html,Srinivasan Pichumani,"Rig Veda, ta'ntra, nUl, and sUtra",Veda and ritual,philological discussion,I,sutra,2,subject_pattern,state:I=Veda; register:sutra=sUtra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007593,<161227029359.23782.4978855449601053122.generated@prod2.harmonylists.io>,007566,1997-04-04 13:22:51+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007593.html,Mikael Aktor,"Rig Veda, ta'ntra, nUl, and sUtra",Veda and ritual,philological discussion,I,sutra,2,subject_pattern,state:I=Veda; register:sutra=sUtra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
