archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
000506,<161227015832.23782.15602078940527209801.generated@prod2.harmonylists.io>,000506,1993-05-18 18:28:18+00:00,1993,5,https://list.indology.info/pipermail/indology/1993-May/000506.html,Dwight Holmes,Mahaa-nirvaa.na-tantra,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000989,<161227016726.23782.793470008757768239.generated@prod2.harmonylists.io>,000989,1994-04-10 05:46:53+00:00,1994,4,https://list.indology.info/pipermail/indology/1994-April/000989.html,Lance Nelson,Oral tradition in Tantra,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=Tantra; register:tantra=Tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000991,<161227016730.23782.2581797054834537684.generated@prod2.harmonylists.io>,000989,1994-04-10 17:15:23+00:00,1994,4,https://list.indology.info/pipermail/indology/1994-April/000991.html,"Nathan Katz, University of South Florida",Oral tradition in Tantra,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=Tantra; register:tantra=Tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000995,<161227016736.23782.11207632649458209221.generated@prod2.harmonylists.io>,000989,1994-04-12 04:49:01+00:00,1994,4,https://list.indology.info/pipermail/indology/1994-April/000995.html,gheil at edu.washington.cs,Oral tradition in Tantra,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=Tantra; register:tantra=Tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000996,<161227016738.23782.15217345941147731779.generated@prod2.harmonylists.io>,000989,1994-04-12 15:55:21+00:00,1994,4,https://list.indology.info/pipermail/indology/1994-April/000996.html,Jim Hartzell,Oral tradition in Tantra,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=Tantra; register:tantra=Tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000997,<161227016740.23782.13926595441093441323.generated@prod2.harmonylists.io>,000989,1994-04-12 21:15:30+00:00,1994,4,https://list.indology.info/pipermail/indology/1994-April/000997.html,Lance Nelson,Oral tradition in Tantra,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=Tantra; register:tantra=Tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001149,<161227017044.23782.13739961364083295488.generated@prod2.harmonylists.io>,001148,1994-08-10 14:19:30+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001149.html,Terence Hays,Tantric Sources,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=Tantric,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001148,<161227017042.23782.561419235359816289.generated@prod2.harmonylists.io>,001148,1994-08-10 13:36:00+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001148.html,Lance Nelson,Tantric Sources,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=Tantric,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001153,<161227017054.23782.6539434300326306767.generated@prod2.harmonylists.io>,001148,1994-08-11 04:11:45+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001153.html,breusch at students.wisc.edu,Tantric Sources,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=Tantric,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001989,<161227018592.23782.11978387727045103770.generated@prod2.harmonylists.io>,001989,1995-02-17 00:59:22+00:00,1995,2,https://list.indology.info/pipermail/indology/1995-February/001989.html,pesch at indoger.unizh.ch,SYMPOSIUM ON THE ROOTS OF TANTRA,Announcements and events,announcement/event,III,tantra,2,subject_pattern,state:III=TANTRA; register:tantra=TANTRA,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
002087,<161227018759.23782.11338872921408451803.generated@prod2.harmonylists.io>,002012,1995-02-27 19:10:50+00:00,1995,2,https://list.indology.info/pipermail/indology/1995-February/002087.html,Jim Hartzell,ROOTS OF TANTRA SYMPOSIUM - REVISED,Announcements and events,announcement/event,III,tantra,2,subject_pattern,state:III=TANTRA; register:tantra=TANTRA,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
002532,<161227019578.23782.16914057944704352671.generated@prod2.harmonylists.io>,002532,1995-05-31 01:33:11+00:00,1995,5,https://list.indology.info/pipermail/indology/1995-May/002532.html,Enrica Garzilli,electronic *INTERNATIONAL JOURNAL OF TANTRIC STUDIES*,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=TANTRIC,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
002533,<161227019580.23782.2543077700781059516.generated@prod2.harmonylists.io>,002533,1995-05-31 02:12:08+00:00,1995,5,https://list.indology.info/pipermail/indology/1995-May/002533.html,Enrica Garzilli,INTERNATIONAL JOURNAL OF TANTRIC STUDIES correction,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=TANTRIC,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
002552,<161227019610.23782.12953009041232139073.generated@prod2.harmonylists.io>,002552,1995-06-03 20:02:23+00:00,1995,6,https://list.indology.info/pipermail/indology/1995-June/002552.html,pslvax!siva!sadhu at UCSD.EDU,electronic *INTERNATIONAL JOURNAL OF TANTRIC STUDIES*,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=TANTRIC,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
002638,<161227019758.23782.1769490683403143014.generated@prod2.harmonylists.io>,002638,1995-06-19 15:36:03+00:00,1995,6,https://list.indology.info/pipermail/indology/1995-June/002638.html,GRUENENDAHL,Tantric Studies journal,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=Tantric,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
004170,<161227022827.23782.10468445994787778720.generated@prod2.harmonylists.io>,004089,1996-02-12 18:45:36+00:00,1996,2,https://list.indology.info/pipermail/indology/1996-February/004170.html,Gerard Huet,Tantra-L,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=Tantra; register:tantra=Tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007597,<161227029385.23782.8386153609982158380.generated@prod2.harmonylists.io>,007570,1997-04-04 21:32:07+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007597.html,jpo at uts.cc.utexas.edu,Tr of sarva-tantra-sva-tantra,Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007896,<161227029848.23782.13470510934221382077.generated@prod2.harmonylists.io>,007896,1997-04-20 22:53:50+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007896.html,GANESANS at cl.uh.edu,"tantra and paa, suutra and nuul",Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007897,<161227029850.23782.9822214682680020162.generated@prod2.harmonylists.io>,007896,1997-04-21 02:37:15+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007897.html,thompson at jlc.net,"tantra and paa, suutra and nuul",Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007900,<161227029855.23782.16013601515060766982.generated@prod2.harmonylists.io>,007900,1997-04-21 09:40:51+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007900.html,David N Nelson,"tantra and paa, suutra and nuul",Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007918,<161227029879.23782.5739145249071973155.generated@prod2.harmonylists.io>,007917,1997-04-22 12:42:01+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007918.html,Anand Venkt Raman,"tantra and paa, suutra and nuul",Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
007950,<161227029948.23782.11101365788429754688.generated@prod2.harmonylists.io>,007896,1997-04-26 02:23:01+00:00,1997,4,https://list.indology.info/pipermail/indology/1997-April/007950.html,Palaniappa at aol.com,"tantra and paa, suutra and nuul",Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
008644,<161227031218.23782.8430820249109466159.generated@prod2.harmonylists.io>,008644,1997-06-25 21:27:20+00:00,1997,6,https://list.indology.info/pipermail/indology/1997-June/008644.html,Palaniappa at aol.com,tantric and non-tantric forms of Goddess worship in CilappatikAram,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=tantric,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
008700,<161227031323.23782.14854270458714211558.generated@prod2.harmonylists.io>,008700,1997-06-29 21:54:18+00:00,1997,6,https://list.indology.info/pipermail/indology/1997-June/008700.html,Palaniappa at aol.com,Tantrism and the Concept of Image in Tamil/Dravidian,General scholarly discussion,general discussion,,tantra,1,subject_pattern,register:tantra=Tantrism,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
008818,<161227031559.23782.10872779883983055365.generated@prod2.harmonylists.io>,008818,1997-07-14 15:38:34+00:00,1997,7,https://list.indology.info/pipermail/indology/1997-July/008818.html,Lars Martin Fosse,"pA, panuval, pAvai;; tantu, tantra, tanU etc.,",Texts and philology,general discussion,III,tantra,2,subject_pattern,state:III=tantra; register:tantra=tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
