archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,renou_states,renou_registers,renou_match_count,renou_confidence,renou_evidence,renou_source_url
000540,<161227015877.23782.1858011541982420905.generated@prod2.harmonylists.io>,000539,1993-06-18 12:15:58+00:00,1993,6,https://list.indology.info/pipermail/indology/1993-June/000540.html,l.m.fosse at easteur-orient.uio.no,shvetashvatara-upanishad,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000586,<161227015973.23782.16254349714963978463.generated@prod2.harmonylists.io>,000586,1993-07-13 23:56:27+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000586.html,kashyap at pepper.rutgers.edu,Sanskrit version of verse from Isa Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Upanishad; register:kavya=verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000587,<161227015975.23782.11334710377857971766.generated@prod2.harmonylists.io>,000586,1993-07-14 02:03:38+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000587.html,SATYAVO,Sanskrit version of verse from Isa Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Upanishad; register:kavya=verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000588,<161227015977.23782.1119039312558266195.generated@prod2.harmonylists.io>,000588,1993-07-14 02:54:49+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000588.html,kashyap at pepper.rutgers.edu,Sanskrit Version of Verse from Chandogya Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Chandogya; register:kavya=Verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000599,<161227015998.23782.12616665741009269721.generated@prod2.harmonylists.io>,000588,1993-07-18 18:14:12+00:00,1993,7,https://list.indology.info/pipermail/indology/1993-July/000599.html,Michael Everson,Sanskrit Version of Verse from Chandogya Upanishad,Veda and ritual,philological discussion,I,kavya; upanisad,3,subject_pattern,state:I=Upanishad; register:upanisad=Chandogya; register:kavya=Verse,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001123,<161227016996.23782.17420566890489673226.generated@prod2.harmonylists.io>,001123,1994-08-01 21:39:07+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001123.html,SAMUELS JEFFREY,Mandukya Upanisad and Commentary,Veda and ritual,philological discussion,I,bhasya; upanisad,3,subject_pattern,state:I=Upanisad; register:upanisad=Upanisad; register:bhasya=Commentary,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001126,<161227017000.23782.6994745073100393772.generated@prod2.harmonylists.io>,001123,1994-08-02 00:14:20+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001126.html,A.Raman at massey.ac.nz,Mandukya Upanisad and Commentary,Veda and ritual,philological discussion,I,bhasya; upanisad,3,subject_pattern,state:I=Upanisad; register:upanisad=Upanisad; register:bhasya=Commentary,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
001125,<161227016998.23782.18098920066965163002.generated@prod2.harmonylists.io>,001125,1994-08-01 22:39:17+00:00,1994,8,https://list.indology.info/pipermail/indology/1994-August/001125.html,Lance Nelson,Mandukya Upanisad and Commentary,Veda and ritual,philological discussion,I,bhasya; upanisad,3,subject_pattern,state:I=Upanisad; register:upanisad=Upanisad; register:bhasya=Commentary,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
002782,<161227020019.23782.1745928031545832204.generated@prod2.harmonylists.io>,002782,1995-07-13 12:37:45+00:00,1995,7,https://list.indology.info/pipermail/indology/1995-July/002782.html,Dominik Wujastyk,Mandukya Upanishad,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=Upanishad; register:upanisad=Upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
003894,<161227022263.23782.15846889732078178574.generated@prod2.harmonylists.io>,003894,1996-01-04 04:16:03+00:00,1996,1,https://list.indology.info/pipermail/indology/1996-January/003894.html,EJVS - IJTS,Alla Upanisad?,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=Upanisad; register:upanisad=Upanisad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006336,<161227027170.23782.6189898038445808690.generated@prod2.harmonylists.io>,006336,1996-11-30 16:55:02+00:00,1996,11,https://list.indology.info/pipermail/indology/1996-November/006336.html,Robert J. Zydenbos,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006338,<161227027163.23782.887971105077335291.generated@prod2.harmonylists.io>,006337,1996-11-30 15:38:13+00:00,1996,11,https://list.indology.info/pipermail/indology/1996-November/006338.html,Robert J. Zydenbos,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006329,<161227027161.23782.4540017014140964407.generated@prod2.harmonylists.io>,006327,1996-11-30 16:10:04+00:00,1996,11,https://list.indology.info/pipermail/indology/1996-November/006329.html,witzel at husc3.harvard.edu,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006326,<161227027160.23782.7408339865712000880.generated@prod2.harmonylists.io>,006282,1996-11-30 14:47:00+00:00,1996,11,https://list.indology.info/pipermail/indology/1996-November/006326.html,Chandan Raghava Narayan,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006348,<161227027199.23782.17446713770173335781.generated@prod2.harmonylists.io>,006348,1996-12-01 23:59:04+00:00,1996,12,https://list.indology.info/pipermail/indology/1996-December/006348.html,Lawrence J. McCrea,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006358,<161227027201.23782.12821924785372844107.generated@prod2.harmonylists.io>,006347,1996-12-02 07:30:13+00:00,1996,12,https://list.indology.info/pipermail/indology/1996-December/006358.html,Lars Martin Fosse,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006359,<161227027211.23782.6820406069727750081.generated@prod2.harmonylists.io>,006348,1996-12-02 16:53:49+00:00,1996,12,https://list.indology.info/pipermail/indology/1996-December/006359.html,Srinivasan Pichumani,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006363,<161227027228.23782.11922281365233113938.generated@prod2.harmonylists.io>,006363,1996-12-03 00:34:17+00:00,1996,12,https://list.indology.info/pipermail/indology/1996-December/006363.html,Allen Thrasher,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006369,<161227027222.23782.2269690889866467157.generated@prod2.harmonylists.io>,006365,1996-12-02 21:16:24+00:00,1996,12,https://list.indology.info/pipermail/indology/1996-December/006369.html,Lars Martin Fosse,"The word ""upanishad""",Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
006632,<161227027750.23782.14703436617287056548.generated@prod2.harmonylists.io>,006632,1996-12-27 02:52:02+00:00,1996,12,https://list.indology.info/pipermail/indology/1996-December/006632.html,pfreund at mum.edu,Ramatapini upanishad,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upanishad; register:upanisad=upanishad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009457,<161227032900.23782.17051681825254181826.generated@prod2.harmonylists.io>,009449,1997-10-02 06:29:26+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009457.html,DEVARAKONDA VENKATA NARAYANA SARMA,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009456,<161227032904.23782.7081375154076051530.generated@prod2.harmonylists.io>,009456,1997-10-02 08:29:14+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009456.html,Sudalaimuthu Palaniappan,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009460,<161227032911.23782.17558002595309812054.generated@prod2.harmonylists.io>,009460,1997-10-02 19:04:43+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009460.html,John A Grimes,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009468,<161227032919.23782.9186630614250506236.generated@prod2.harmonylists.io>,009456,1997-10-03 03:18:41+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009468.html,DEVARAKONDA VENKATA NARAYANA SARMA,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009467,<161227032917.23782.6387014199740603540.generated@prod2.harmonylists.io>,009456,1997-10-02 22:51:30+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009467.html,Sudalaimuthu Palaniappan,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009490,<161227032965.23782.16701324260370502745.generated@prod2.harmonylists.io>,009490,1997-10-04 19:02:27+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009490.html,PROF. BH. KRISHNA MURTHY,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009489,<161227032954.23782.681523613996336182.generated@prod2.harmonylists.io>,009456,1997-10-04 07:39:13+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009489.html,JR Gardner,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009495,<161227032967.23782.5054902771665879370.generated@prod2.harmonylists.io>,009456,1997-10-05 01:42:20+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009495.html,DEVARAKONDA VENKATA NARAYANA SARMA,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009493,<161227032968.23782.13839357544127219910.generated@prod2.harmonylists.io>,009449,1997-10-05 01:51:53+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009493.html,Sudalaimuthu Palaniappan,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009505,<161227032991.23782.3835316402684849666.generated@prod2.harmonylists.io>,009449,1997-10-05 20:52:52+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009505.html,Dominique.Thillaud,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009508,<161227032996.23782.5526073231713997463.generated@prod2.harmonylists.io>,009456,1997-10-06 09:05:16+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009508.html,DEVARAKONDA VENKATA NARAYANA SARMA,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009511,<161227033007.23782.3498475695625676590.generated@prod2.harmonylists.io>,009456,1997-10-07 01:24:36+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009511.html,Erik Hoogcarspel,jIvanmukta (was Re: chAndogya upaniSad 1.1.8 and 8.3.5),Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009512,<161227033002.23782.11416086684305153821.generated@prod2.harmonylists.io>,009449,1997-10-06 18:36:35+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009512.html,Sudalaimuthu Palaniappan,chAndogya upaniSad 1.1.8 and 8.3.5,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
009515,<161227033012.23782.11453711574322018716.generated@prod2.harmonylists.io>,009510,1997-10-07 19:16:23+00:00,1997,10,https://list.indology.info/pipermail/indology/1997-October/009515.html,Erik Hoogcarspel,jIvanmukta (was Re: chAndogya upaniSad 1.1.8 and 8.3.5),Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=upaniSad; register:upanisad=chAndogya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
012373,<161227038966.23782.9464390162472132076.generated@prod2.harmonylists.io>,012365,1998-05-21 05:57:43+00:00,1998,5,https://list.indology.info/pipermail/indology/1998-May/012373.html,DEVARAKONDA VENKATA NARAYANA SARMA,Brhadaranyaka Upanisad III. ii .12,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=Upanisad; register:upanisad=Brhadaranyaka,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
012374,<161227038972.23782.3146579808778747801.generated@prod2.harmonylists.io>,012367,1998-05-21 07:50:10+00:00,1998,5,https://list.indology.info/pipermail/indology/1998-May/012374.html,Jakub Cejka,Brhadaranyaka Upanisad III. ii .12,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=Upanisad; register:upanisad=Brhadaranyaka,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
012371,<161227039019.23782.7504952318537403485.generated@prod2.harmonylists.io>,012240,1998-05-21 12:36:18+00:00,1998,5,https://list.indology.info/pipermail/indology/1998-May/012371.html,Anand Nayak,Brhadaranyaka Upanisad III. ii .12,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=Upanisad; register:upanisad=Brhadaranyaka,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
012367,<161227038970.23782.16810130560074983.generated@prod2.harmonylists.io>,012367,1998-05-21 05:40:12+00:00,1998,5,https://list.indology.info/pipermail/indology/1998-May/012367.html,Ashok Aklujkar,Brhadaranyaka Upanisad III. ii .12,Veda and ritual,general discussion,I,upanisad,2,subject_pattern,state:I=Upanisad; register:upanisad=Brhadaranyaka,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
